cluster,weekdayindex,day,hour,time,violationdescription,percent,globalpercent,result,lat_min,long_min,lat_max,long_max
2200,2,Wednesday,11,11:00 ,PARKED IN CROSSWALK,1.0,0.095238095,10.5,34.08687218,-118.25769,34.087953,-118.256134
5068,4,Friday,13,1:00 P,OUTSIDE LINES/METER,1.0,0.141304348,7.08,34.09675894,-118.2972124,34.09681553,-118.2972122
3256,6,Sunday,12,12:00 ,PREFERENTIAL PARKING,1.0,0.046934866,21.31,34.08393747,-118.3742166,34.08393747,-118.3742166
4828,1,Tuesday,12,12:00 ,METER EXP.,0.2,0.128044972,1.56,34.097983,-118.333211,34.097983,-118.333211
3401,2,Wednesday,13,1:00 P,PARKED OVER TIME LIMIT,1.0,0.144200627,6.93,34.09675555,-118.3190519,34.09749009,-118.3190491
239,1,Tuesday,16,4:00 P,18 IN. CURB/2 WAY,1.0,0.086092715,11.62,34.138138,-118.211551,34.138138,-118.211551
3499,0,Monday,11,11:00 ,RED ZONE,1.0,0.070445344,14.2,34.0519788,-118.2436093,34.052229,-118.2432932
5224,4,Friday,1,1:00 A,DISPLAY OF TABS,1.0,0.048806941,20.49,34.090784,-118.306945,34.090784,-118.306945
1150,5,Saturday,12,12:00 ,METER EXP.,0.5,0.099609375,5.02,34.00407928,-118.4295923,34.00516833,-118.4277062
2840,5,Saturday,1,1:00 A,RED ZONE,1.0,0.079646018,12.56,34.195836,-118.395389,34.195836,-118.394308
1217,0,Monday,12,12:00 ,PARKED OVER TIME LIMIT,1.0,0.135084428,7.4,34.06656934,-118.4499245,34.06656934,-118.4499245
5744,3,Thursday,12,12:00 ,DISPLAY OF PLATES,1.0,0.097103918,10.3,34.042434,-118.249234,34.042434,-118.249234
376,5,Saturday,17,5:00 P,RED ZONE,1.0,0.030088496,33.24,34.01903374,-118.3681911,34.021562,-118.365874
4070,1,Tuesday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.289382269,3.46,34.06781637,-118.3472243,34.06819172,-118.3472236
4851,6,Sunday,16,4:00 P,DISPLAY OF TABS,0.5,0.052,9.62,34.099761,-118.332467,34.099761,-118.332467
2707,4,Friday,16,4:00 P,METER EXP.,0.333333333,0.06669057,5.0,34.153451,-118.464002,34.153451,-118.464002
2523,3,Thursday,2,2:00 A,RED ZONE,1.0,0.065051903,15.37,34.03328452,-118.195324,34.03451853,-118.1939265
233,3,Thursday,13,1:00 P,METER EXP.,0.5,0.100211715,4.99,33.7278543,-118.2846795,33.72967688,-118.2827731
3083,6,Sunday,9,9:00 A,RED ZONE,0.5,0.076923077,6.5,34.00009439,-118.302467,34.00370322,-118.300174
4379,3,Thursday,12,12:00 ,NO PARK/STREET CLEAN,0.5,0.21692563,2.3,34.07876937,-118.2785741,34.07962627,-118.2769172
3648,4,Friday,17,5:00 P,NO STOP/STANDING,1.0,0.082644628,12.1,33.98679235,-118.2741508,33.98720159,-118.273928
1598,0,Monday,14,2:00 P,OFF STR/OVERTIME/MTR,0.25,0.086538462,2.89,34.0401441,-118.4298941,34.0401441,-118.4298941
638,6,Sunday,18,6:00 P,METER EXP.,0.333333333,0.051587302,6.46,34.065238,-118.469281,34.065238,-118.469281
3873,0,Monday,16,4:00 P,NO STOP/STANDING,1.0,0.333333333,3.0,34.0037339,-118.2851377,34.00374208,-118.2842766
2254,3,Thursday,0,12:00 ,PARKED IN CROSSWALK,1.0,0.058823529,17.0,34.02375569,-118.216196,34.02400811,-118.2156815
1811,5,Saturday,19,7:00 P,RED ZONE,1.0,0.017699115,56.5,34.23363831,-118.453549,34.23825478,-118.4535459
1779,0,Monday,12,12:00 ,FIRE HYDRANT,1.0,0.068376068,14.63,34.21815753,-118.4664944,34.22239886,-118.461141
1956,1,Tuesday,20,8:00 P,BLOCKING DRIVEWAY,1.0,0.068273092,14.65,34.038791,-118.453735,34.04032862,-118.452189
3658,4,Friday,1,1:00 A,DISPLAY OF TABS,1.0,0.048806941,20.49,34.05533997,-118.3784158,34.05590845,-118.3783828
1127,2,Wednesday,16,4:00 P,METER EXP.,0.5,0.071478626,7.0,34.06285963,-118.4426445,34.063724,-118.442437
204,2,Wednesday,13,1:00 P,STANDNG IN ALLEY,1.0,0.029787234,33.57,34.035146,-118.2242115,34.03682372,-118.2230447
1551,1,Tuesday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.242712581,4.12,34.04371,-118.4180966,34.04401086,-118.417848
1430,1,Tuesday,16,4:00 P,PREFERENTIAL PARKING,0.2,0.024480712,8.17,34.21799952,-118.5317361,34.21858867,-118.5317352
1277,0,Monday,8,8:00 A,NO PARK/STREET CLEAN,0.333333333,0.275908479,1.21,34.1774514,-118.5325705,34.17745319,-118.5318211
1423,2,Wednesday,10,10:00 ,NO PARK/STREET CLEAN,1.0,0.22484119,4.45,34.07045778,-118.200111,34.07109712,-118.1998061
1493,5,Saturday,17,5:00 P,PREFERENTIAL PARKING,1.0,0.045454545,22.0,34.03158478,-118.4478781,34.03187422,-118.4470568
